MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RainTomorrow,Temp_Media,Pressure_Media,WindSpeed_Media,Cloud_Media,Humidity_Media,Season
17.9,35.2,0.0,12.0,12.3,48.0,No,No,30.0,1005.35,13.0,3.5,16.5,Summer
18.4,28.9,0.0,14.8,13.0,37.0,No,No,23.65,1012.5,19.0,1.0,19.0,Summer
15.5,34.1,0.0,12.6,13.3,30.0,No,No,32.7,1011.6,7.0,1.0,7.0,Summer
19.4,37.6,0.0,10.8,10.6,46.0,No,No,31.8,1010.75,22.5,3.5,32.0,Summer
21.9,38.4,0.0,11.4,12.2,31.0,No,No,32.35,1010.9,6.0,3.0,29.5,Summer
24.2,41.0,0.0,11.2,8.4,35.0,No,No,35.6,1009.05,15.0,3.5,17.0,Summer
27.1,36.1,0.0,13.0,0.0,43.0,No,No,32.5,1007.55,13.5,8.0,22.5,Summer
23.3,34.0,0.0,9.8,12.6,41.0,No,No,28.25,1010.6,18.0,2.0,24.0,Summer
16.1,34.2,0.0,14.6,13.2,37.0,No,No,26.75,1011.25,10.5,1.0,17.0,Summer
19.0,35.5,0.0,12.0,12.3,48.0,No,No,28.35,1006.15,19.5,3.0,37.0,Summer
19.7,35.5,0.0,11.0,12.7,41.0,No,No,28.8,1006.85,16.0,3.0,37.5,Summer
20.9,37.8,0.0,12.8,13.2,30.0,No,No,33.1,1011.35,9.0,0.5,18.0,Summer
23.9,39.1,0.0,13.8,12.1,39.0,No,No,33.05,1012.0,16.5,1.0,27.5,Summer
24.9,41.2,0.0,14.8,13.0,43.0,No,No,34.8,1011.5,14.0,2.0,20.0,Summer
25.2,40.5,0.0,16.4,10.3,44.0,No,No,34.6,1010.7,17.5,5.0,19.5,Summer
21.6,34.2,0.0,17.4,13.1,44.0,No,No,28.6,1013.2,18.0,0.0,13.5,Summer
18.4,31.8,0.0,16.0,12.9,33.0,No,No,25.1,1015.05,16.0,0.5,15.0,Summer
17.9,34.2,0.0,12.0,11.3,61.0,No,No,26.9,1014.95,19.5,1.5,32.5,Summer
21.4,37.5,0.0,14.8,6.9,43.0,No,Yes,30.15,1011.35,17.5,6.5,31.5,Summer
23.3,39.4,4.8,12.0,10.9,59.0,Yes,No,32.0,1009.8,18.0,4.0,34.0,Summer
25.4,33.5,0.0,13.6,3.7,46.0,No,No,29.3,1010.9,18.5,5.5,49.0,Summer
21.8,30.7,0.0,8.0,5.9,56.0,No,Yes,25.85,1007.4,21.5,7.0,67.0,Summer
20.3,36.0,18.0,8.2,10.5,94.0,Yes,Yes,29.05,1007.65,10.0,5.5,69.5,Summer
22.1,34.7,8.6,8.6,12.4,50.0,Yes,No,30.65,1008.45,13.0,4.0,34.5,Summer
19.7,37.3,0.0,14.2,13.4,28.0,No,No,30.7,1012.45,9.5,1.0,14.5,Summer
23.8,39.9,0.0,12.6,13.2,31.0,No,No,33.7,1013.35,12.0,0.5,33.0,Summer
27.0,38.7,0.0,14.2,13.0,46.0,No,No,32.7,1013.9,15.5,2.0,33.5,Summer
26.2,38.5,0.0,14.6,13.3,39.0,No,No,33.3,1012.95,17.0,1.0,27.0,Summer
25.0,39.5,0.0,14.6,13.6,52.0,No,No,34.15,1012.9,19.5,0.5,22.5,Summer
25.1,39.3,0.0,15.8,13.2,44.0,No,No,33.7,1012.15,20.0,0.5,26.0,Summer
25.2,38.5,0.0,16.2,13.1,44.0,No,No,32.95,1013.55,22.0,1.5,26.5,Summer
24.8,40.8,0.0,13.4,11.3,30.0,No,No,34.5,1011.35,9.0,4.0,25.0,Summer
27.6,40.3,0.0,14.4,10.9,57.0,No,No,35.25,1008.75,13.0,3.5,26.0,Summer
23.6,40.4,0.6,11.8,12.2,54.0,No,Yes,34.3,1006.7,10.0,1.5,29.5,Summer
24.1,41.4,1.6,12.6,12.3,39.0,Yes,No,33.5,1005.25,12.0,2.0,35.5,Summer
27.2,43.4,0.0,14.2,12.6,37.0,No,No,37.8,1004.6,11.0,2.0,23.5,Summer
29.1,43.5,0.0,13.0,12.1,28.0,No,No,38.5,1006.35,11.0,1.5,20.5,Summer
28.9,41.4,0.0,15.6,12.7,41.0,No,No,36.05,1009.35,19.5,0.5,18.0,Summer
25.1,42.0,0.0,17.4,13.0,39.0,No,No,36.0,1008.6,14.0,0.5,16.0,Summer
25.4,36.6,0.0,15.2,10.3,43.0,No,No,30.75,1007.75,16.0,5.0,18.0,Summer
19.3,28.1,0.0,16.0,7.4,46.0,No,No,22.25,1009.5,21.5,5.5,20.0,Summer
14.1,25.9,0.0,11.6,12.3,44.0,No,No,19.45,1011.0,23.0,0.0,28.5,Summer
14.5,30.1,0.0,9.6,10.0,37.0,No,No,22.9,1011.6,11.0,6.0,34.5,Summer
16.8,23.3,0.6,8.0,2.3,63.0,No,Yes,20.45,1013.0,35.0,7.0,59.5,Summer
16.1,19.1,26.0,6.6,0.0,54.0,Yes,Yes,17.05,1013.75,23.5,7.0,87.0,Summer
16.0,24.2,7.0,0.6,6.6,43.0,Yes,No,20.8,1011.65,18.5,5.5,61.0,Summer
17.4,19.7,0.0,6.0,0.0,48.0,No,Yes,18.15,1010.95,19.5,7.0,81.0,Summer
15.9,20.8,32.6,3.0,0.3,44.0,Yes,Yes,18.6,1011.05,17.0,7.5,85.5,Summer
16.5,27.4,1.6,2.0,10.0,30.0,Yes,No,23.55,1007.6,17.0,4.5,61.0,Summer
16.8,30.6,0.0,5.2,10.7,26.0,No,No,26.05,1007.9,9.5,1.5,47.0,Summer
20.4,34.0,0.0,6.6,11.6,31.0,No,No,29.5,1010.3,6.5,3.0,32.0,Summer
19.9,31.7,0.0,9.0,12.4,31.0,No,No,26.65,1011.65,12.0,1.0,32.0,Summer
17.2,34.3,0.0,10.2,12.4,39.0,No,No,27.3,1012.25,12.0,1.0,35.5,Summer
21.9,35.1,0.0,9.0,10.2,43.0,No,Yes,29.95,1011.6,23.0,3.5,41.5,Summer
21.0,34.7,2.0,10.0,9.0,46.0,Yes,No,29.25,1012.6,18.5,3.5,47.0,Summer
18.7,33.1,0.8,7.4,12.1,31.0,No,No,27.65,1014.05,10.0,2.0,50.5,Summer
17.9,33.8,0.0,8.4,12.0,24.0,No,No,28.2,1013.85,10.0,0.5,22.0,Summer
19.9,33.5,0.0,9.2,12.3,39.0,No,No,27.4,1013.1,16.5,1.0,38.5,Summer
22.2,36.9,0.0,9.4,12.0,41.0,No,No,30.8,1009.5,18.0,4.0,29.5,Summer
16.9,32.8,0.0,12.4,10.7,30.0,No,No,25.4,1010.75,6.5,4.5,23.5,Summer
20.0,31.1,0.0,10.4,3.0,30.0,No,No,26.2,1013.05,6.5,6.5,31.0,Summer
23.0,38.9,0.0,7.2,8.4,65.0,No,No,31.25,1010.7,23.5,4.0,24.0,Summer
18.6,24.5,0.0,15.2,7.9,54.0,No,No,20.75,1015.8,23.0,4.5,33.5,Summer
14.1,24.6,0.0,11.0,11.5,46.0,No,No,18.8,1015.55,18.5,0.5,39.5,Summer
11.9,26.4,0.0,8.4,12.1,41.0,No,No,20.8,1013.4,10.0,0.0,40.0,Summer
13.1,29.6,0.0,8.0,12.0,26.0,No,No,23.25,1013.5,9.0,0.0,30.0,Summer
16.5,33.2,0.0,9.4,12.0,46.0,No,No,27.2,1013.1,13.0,0.0,21.0,Summer
21.1,33.4,0.0,10.4,11.2,41.0,No,No,26.9,1014.5,16.5,4.5,40.5,Summer
21.6,31.1,0.0,10.8,4.8,61.0,No,No,26.35,1014.3,20.5,7.0,41.5,Summer
19.5,31.4,0.0,6.8,10.5,46.0,No,No,26.0,1015.65,22.5,1.0,44.0,Summer
21.6,32.2,0.0,11.2,5.8,48.0,No,Yes,27.55,1014.7,24.0,5.5,44.5,Summer
18.5,29.6,9.2,7.6,6.0,39.0,Yes,Yes,24.4,1014.7,9.5,5.5,64.5,Summer
19.1,34.2,1.2,4.4,11.5,37.0,Yes,No,33.0,1009.0,11.0,3.0,30.0,Summer
16.0,24.3,0.0,10.4,11.1,39.0,No,No,20.2,1013.35,15.0,0.5,36.0,Summer
9.2,24.4,0.0,7.6,10.9,41.0,No,No,19.6,1013.85,12.0,1.5,38.5,Summer
